Time,ТОЖ,ТВ,Дросс,Наклон Др,RPM,Наклон RPM,ReqALF,LC1ALF,LC1/ALF,Коэфф,Add GTC_Dross,Разр ДК рег,Рег по ДК,Желаемое РХХ,Текущее РХХ,УОЗ,Скорость,Передача,Скор/Оборот,ACC,Желаемые обороты ХХ,Обороты ХХ,Впрыск (мс),Загр форс,AIR,GBC,л/ч,л/100,фПХХ,фХХ,фМойХХ,Блок топл,Фаза впрыска,Попадание в зону детонации,Обнаружение детонации,АЦП ДД,Коррекция УОЗ цилиндр1,Коррекция УОЗ цилиндр2,Коррекция УОЗ цилиндр3,Коррекция УОЗ цилиндр4,Готовность ДК,Работа в зоне регулирования по ДК,Текущее состояние датчика кислорода,АЦП ДК,Сохранение результатов обучения по ДК,Нагрев ДК,Прошлое состояние датчика кислорода,АЦП AIR,Наклон АЦП AIR,
5.708, -40, -40, 0, 0.00, 0, 0.00, 7.35, 14.70, 2.00, 0.500, 0.0000, 0, 1.000, 0, 0, 0.00, 0, 0, 0, 17.86, 0, 0, 0.000, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, 0, 0, 0, 0.000, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0.000, 0, 0, 0, 0.000, 0.00, 
5.808, -40, -40, 0, 0.00, 0, 0.00, 7.35, 14.70, 2.00, 0.500, 0.0000, 0, 1.000, 0, 0, 0.00, 0, 0, 0, 17.86, 0, 0, 0.000, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, 0, 0, 0, 0.000, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0.000, 0, 0, 0, 0.000, 0.00, 
5.908, -40, -40, 0, 0.00, 0, 0.00, 7.35, 14.70, 2.00, 0.500, 0.0000, 0, 1.000, 0, 0, 0.00, 0, 0, 0, 17.86, 0, 0, 0.000, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, 0, 0, 0, 0.000, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0.000, 0, 0, 0, 0.000, 0.00, 
6.9, -40, -40, 0, 0.00, 0, 0.00, 7.35, 14.70, 2.00, 0.500, 0.0000, 0, 1.000, 0, 0, 0.00, 0, 0, 0, 17.86, 0, 0, 0.000, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, 0, 0, 0, 0.000, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0.000, 0, 0, 0, 0.000, 0.00, 
6.109, -40, -40, 0, 0.00, 0, 0.00, 7.35, 14.70, 2.00, 0.500, 0.0000, 0, 1.000, 0, 0, 0.00, 0, 0, 0, 17.86, 0, 0, 0.000, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, 0, 0, 0, 0.000, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0.000, 0, 0, 0, 0.000, 0.00, 
6.209, -40, -40, 0, 0.00, 0, 0.00, 7.35, 14.70, 2.00, 0.500, 0.0000, 0, 1.000, 0, 0, 0.00, 0, 0, 0, 17.86, 0, 0, 0.000, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, 0, 0, 0, 0.000, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0.000, 0, 0, 0, 0.000, 0.00, 
6.309, -40, -40, 0, 0.00, 0, 0.00, 7.35, 14.70, 2.00, 0.500, 0.0000, 0, 1.000, 0, 0, 0.00, 0, 0, 0, 17.86, 0, 0, 0.000, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, 0, 0, 0, 0.000, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0.000, 0, 0, 0, 0.000, 0.00, 
6.419, -40, -40, 0, 0.00, 0, 0.00, 7.35, 14.70, 2.00, 0.500, 0.0000, 0, 1.000, 0, 0, 0.00, 0, 0, 0, 17.86, 0, 0, 0.000, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, 0, 0, 0, 0.000, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0.000, 0, 0, 0, 0.000, 0.00, 
6.509, -40, -40, 0, 0.00, 0, 0.00, 7.35, 14.70, 2.00, 0.500, 0.0000, 0, 1.000, 0, 0, 0.00, 0, 0, 0, 17.86, 0, 0, 0.000, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, 0, 0, 0, 0.000, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0.000, 0, 0, 0, 0.000, 0.00, 
6.609, -40, -40, 0, 0.00, 0, 0.00, 7.35, 14.70, 2.00, 0.500, 0.0000, 0, 1.000, 0, 0, 0.00, 0, 0, 0, 17.86, 0, 0, 0.000, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, 0, 0, 0, 0.000, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0.000, 0, 0, 0, 0.000, 0.00, 
6.710, -40, -40, 0, 0.00, 0, 0.00, 7.35, 14.70, 2.00, 0.500, 0.0000, 0, 1.000, 0, 0, 0.00, 0, 0, 0, 17.86, 0, 0, 0.000, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, 0, 0, 0, 0.000, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0.000, 0, 0, 0, 0.000, 0.00, 
6.810, -40, -40, 0, 0.00, 0, 0.00, 7.35, 14.70, 2.00, 0.500, 0.0000, 0, 1.000, 0, 0, 0.00, 0, 0, 0, 17.86, 0, 0, 0.000, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, 0, 0, 0, 0.000, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0.000, 0, 0, 0, 0.000, 0.00, 
6.910, -40, -40, 0, 0.00, 0, 0.00, 7.35, 14.70, 2.00, 0.500, 0.0000, 0, 1.000, 0, 0, 0.00, 0, 0, 0, 17.86, 0, 0, 0.000, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, 0, 0, 0, 0.000, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0.000, 0, 0, 0, 0.000, 0.00, 
7.10, -40, -40, 0, 0.00, 0, 0.00, 7.35, 14.70, 2.00, 0.500, 0.0000, 0, 1.000, 0, 0, 0.00, 0, 0, 0, 17.86, 0, 0, 0.000, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, 0, 0, 0, 0.000, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0.000, 0, 0, 0, 0.000, 0.00, 
7.110, -40, -40, 0, 0.00, 0, 0.00, 7.35, 14.70, 2.00, 0.500, 0.0000, 0, 1.000, 0, 0, 0.00, 0, 0, 0, 17.86, 0, 0, 0.000, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, 0, 0, 0, 0.000, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0.000, 0, 0, 0, 0.000, 0.00, 
7.210, -40, -40, 0, 0.00, 0, 0.00, 7.35, 14.70, 2.00, 0.500, 0.0000, 0, 1.000, 0, 0, 0.00, 0, 0, 0, 17.86, 0, 0, 0.000, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, 0, 0, 0, 0.000, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0.000, 0, 0, 0, 0.000, 0.00, 
7.310, -40, -40, 0, 0.00, 0, 0.00, 7.35, 14.70, 2.00, 0.500, 0.0000, 0, 1.000, 0, 0, 0.00, 0, 0, 0, 17.86, 0, 0, 0.000, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, 0, 0, 0, 0.000, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0.000, 0, 0, 0, 0.000, 0.00, 
7.411, -40, -40, 0, 0.00, 0, 0.00, 7.35, 14.70, 2.00, 0.500, 0.0000, 0, 1.000, 0, 0, 0.00, 0, 0, 0, 17.86, 0, 0, 0.000, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, 0, 0, 0, 0.000, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0.000, 0, 0, 0, 0.000, 0.00, 
7.511, -40, -40, 0, 0.00, 0, 0.00, 7.35, 14.70, 2.00, 0.500, 0.0000, 0, 1.000, 0, 0, 0.00, 0, 0, 0, 17.86, 0, 0, 0.000, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, 0, 0, 0, 0.000, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0.000, 0, 0, 0, 0.000, 0.00, 
7.611, -40, -40, 0, 0.00, 0, 0.00, 7.35, 14.70, 2.00, 0.500, 0.0000, 0, 1.000, 0, 0, 0.00, 0, 0, 0, 17.86, 0, 0, 0.000, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, 0, 0, 0, 0.000, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0.000, 0, 0, 0, 0.000, 0.00, 
7.711, -40, -40, 0, 0.00, 0, 0.00, 7.35, 14.70, 2.00, 0.500, 0.0000, 0, 1.000, 0, 0, 0.00, 0, 0, 0, 17.86, 0, 0, 0.000, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, 0, 0, 0, 0.000, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0.000, 0, 0, 0, 0.000, 0.00, 
7.811, -40, -40, 0, 0.00, 0, 0.00, 7.35, 14.70, 2.00, 0.500, 0.0000, 0, 1.000, 0, 0, 0.00, 0, 0, 0, 17.86, 0, 0, 0.000, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, 0, 0, 0, 0.000, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0.000, 0, 0, 0, 0.000, 0.00, 
7.911, -40, -40, 0, 0.00, 0, 0.00, 7.35, 14.70, 2.00, 0.500, 0.0000, 0, 1.000, 0, 0, 0.00, 0, 0, 0, 17.86, 0, 0, 0.000, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, 0, 0, 0, 0.000, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0.000, 0, 0, 0, 0.000, 0.00, 
8.11, -40, -40, 0, 0.00, 0, 0.00, 7.35, 14.70, 2.00, 0.500, 0.0000, 0, 1.000, 0, 0, 0.00, 0, 0, 0, 17.86, 0, 0, 0.000, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, 0, 0, 0, 0.000, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0.000, 0, 0, 0, 0.000, 0.00, 
8.112, -40, -40, 0, 0.00, 0, 0.00, 7.35, 14.70, 2.00, 0.500, 0.0000, 0, 1.000, 0, 0, 0.00, 0, 0, 0, 17.86, 0, 0, 0.000, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, 0, 0, 0, 0.000, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0.000, 0, 0, 0, 0.000, 0.00, 
8.212, -40, -40, 0, 0.00, 0, 0.00, 7.35, 14.70, 2.00, 0.500, 0.0000, 0, 1.000, 0, 0, 0.00, 0, 0, 0, 17.86, 0, 0, 0.000, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, 0, 0, 0, 0.000, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0.000, 0, 0, 0, 0.000, 0.00, 
8.312, -40, -40, 0, 0.00, 0, 0.00, 7.35, 14.70, 2.00, 0.500, 0.0000, 0, 1.000, 0, 0, 0.00, 0, 0, 0, 17.86, 0, 0, 0.000, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, 0, 0, 0, 0.000, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0.000, 0, 0, 0, 0.000, 0.00, 
8.412, -40, -40, 0, 0.00, 0, 0.00, 7.35, 14.70, 2.00, 0.500, 0.0000, 0, 1.000, 0, 0, 0.00, 0, 0, 0, 17.86, 0, 0, 0.000, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, 0, 0, 0, 0.000, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0.000, 0, 0, 0, 0.000, 0.00, 
8.512, -40, -40, 0, 0.00, 0, 0.00, 7.35, 14.70, 2.00, 0.500, 0.0000, 0, 1.000, 0, 0, 0.00, 0, 0, 0, 17.86, 0, 0, 0.000, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, 0, 0, 0, 0.000, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0.000, 0, 0, 0, 0.000, 0.00, 
8.612, -40, -40, 0, 0.00, 0, 0.00, 7.35, 14.70, 2.00, 0.500, 0.0000, 0, 1.000, 0, 0, 0.00, 0, 0, 0, 17.86, 0, 0, 0.000, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, 0, 0, 0, 0.000, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0.000, 0, 0, 0, 0.000, 0.00, 
8.712, -40, -40, 0, 0.00, 0, 0.00, 7.35, 14.70, 2.00, 0.500, 0.0000, 0, 1.000, 0, 0, 0.00, 0, 0, 0, 17.86, 0, 0, 0.000, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, 0, 0, 0, 0.000, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0.000, 0, 0, 0, 0.000, 0.00, 
8.813, -40, -40, 0, 0.00, 0, 0.00, 7.35, 14.70, 2.00, 0.500, 0.0000, 0, 1.000, 0, 0, 0.00, 0, 0, 0, 17.86, 0, 0, 0.000, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, 0, 0, 0, 0.000, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0.000, 0, 0, 0, 0.000, 0.00, 
8.913, -40, -40, 0, 0.00, 0, 0.00, 7.35, 14.70, 2.00, 0.500, 0.0000, 0, 1.000, 0, 0, 0.00, 0, 0, 0, 17.86, 0, 0, 0.000, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, 0, 0, 0, 0.000, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0.000, 0, 0, 0, 0.000, 0.00, 
9.13, -40, -40, 0, 0.00, 0, 0.00, 7.35, 14.70, 2.00, 0.500, 0.0000, 0, 1.000, 0, 0, 0.00, 0, 0, 0, 17.86, 0, 0, 0.000, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, 0, 0, 0, 0.000, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0.000, 0, 0, 0, 0.000, 0.00, 
9.113, -40, -40, 0, 0.00, 0, 0.00, 7.35, 14.70, 2.00, 0.500, 0.0000, 0, 1.000, 0, 0, 0.00, 0, 0, 0, 17.86, 0, 0, 0.000, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, 0, 0, 0, 0.000, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0.000, 0, 0, 0, 0.000, 0.00, 
9.213, -40, -40, 0, 0.00, 0, 0.00, 7.35, 14.70, 2.00, 0.500, 0.0000, 0, 1.000, 0, 0, 0.00, 0, 0, 0, 17.86, 0, 0, 0.000, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, 0, 0, 0, 0.000, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0.000, 0, 0, 0, 0.000, 0.00, 
9.313, -40, -40, 0, 0.00, 0, 0.00, 7.35, 14.70, 2.00, 0.500, 0.0000, 0, 1.000, 0, 0, 0.00, 0, 0, 0, 17.86, 0, 0, 0.000, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, 0, 0, 0, 0.000, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0.000, 0, 0, 0, 0.000, 0.00, 
9.413, -40, -40, 0, 0.00, 0, 0.00, 7.35, 14.70, 2.00, 0.500, 0.0000, 0, 1.000, 0, 0, 0.00, 0, 0, 0, 17.86, 0, 0, 0.000, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, 0, 0, 0, 0.000, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0.000, 0, 0, 0, 0.000, 0.00, 
9.514, -40, -40, 0, 0.00, 0, 0.00, 7.35, 14.70, 2.00, 0.500, 0.0000, 0, 1.000, 0, 0, 0.00, 0, 0, 0, 17.86, 0, 0, 0.000, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, 0, 0, 0, 0.000, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0.000, 0, 0, 0, 0.000, 0.00, 
9.614, -40, -40, 0, 0.00, 0, 0.00, 7.35, 14.70, 2.00, 0.500, 0.0000, 0, 1.000, 0, 0, 0.00, 0, 0, 0, 17.86, 0, 0, 0.000, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, 0, 0, 0, 0.000, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0.000, 0, 0, 0, 0.000, 0.00, 
9.714, -40, -40, 0, 0.00, 0, 0.00, 7.35, 14.70, 2.00, 0.500, 0.0000, 0, 1.000, 0, 0, 0.00, 0, 0, 0, 17.86, 0, 0, 0.000, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, 0, 0, 0, 0.000, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0.000, 0, 0, 0, 0.000, 0.00, 
9.814, -40, -40, 0, 0.00, 0, 0.00, 7.35, 14.70, 2.00, 0.500, 0.0000, 0, 1.000, 0, 0, 0.00, 0, 0, 0, 17.86, 0, 0, 0.000, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, 0, 0, 0, 0.000, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0.000, 0, 0, 0, 0.000, 0.00, 
9.914, -40, -40, 0, 0.00, 0, 0.00, 7.35, 14.70, 2.00, 0.500, 0.0000, 0, 1.000, 0, 0, 0.00, 0, 0, 0, 17.86, 0, 0, 0.000, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, 0, 0, 0, 0.000, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0.000, 0, 0, 0, 0.000, 0.00, 
10.14, -40, -40, 0, 0.00, 0, 0.00, 7.35, 14.70, 2.00, 0.500, 0.0000, 0, 1.000, 0, 0, 0.00, 0, 0, 0, 17.86, 0, 0, 0.000, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, 0, 0, 0, 0.000, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0.000, 0, 0, 0, 0.000, 0.00, 
10.114, -40, -40, 0, 0.00, 0, 0.00, 7.35, 14.70, 2.00, 0.500, 0.0000, 0, 1.000, 0, 0, 0.00, 0, 0, 0, 17.86, 0, 0, 0.000, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, 0, 0, 0, 0.000, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0.000, 0, 0, 0, 0.000, 0.00, 
10.215, -40, -40, 0, 0.00, 0, 0.00, 7.35, 14.70, 2.00, 0.500, 0.0000, 0, 1.000, 0, 0, 0.00, 0, 0, 0, 17.86, 0, 0, 0.000, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, 0, 0, 0, 0.000, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0.000, 0, 0, 0, 0.000, 0.00, 
10.315, -40, -40, 0, 0.00, 0, 0.00, 7.35, 14.70, 2.00, 0.500, 0.0000, 0, 1.000, 0, 0, 0.00, 0, 0, 0, 17.86, 0, 0, 0.000, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, 0, 0, 0, 0.000, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0.000, 0, 0, 0, 0.000, 0.00, 
10.415, -40, -40, 0, 0.00, 0, 0.00, 7.35, 14.70, 2.00, 0.500, 0.0000, 0, 1.000, 0, 0, 0.00, 0, 0, 0, 17.86, 0, 0, 0.000, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, 0, 0, 0, 0.000, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0.000, 0, 0, 0, 0.000, 0.00, 
10.515, -40, -40, 0, 0.00, 0, 0.00, 7.35, 14.70, 2.00, 0.500, 0.0000, 0, 1.000, 0, 0, 0.00, 0, 0, 0, 17.86, 0, 0, 0.000, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, 0, 0, 0, 0.000, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0.000, 0, 0, 0, 0.000, 0.00, 
